locusId	sysName	desc	comb	setATCH264 M9
HER17_RS12420	HER17_RS12420	lysine exporter LysO family protein	HER17_RS12420 lysine exporter LysO family protein	-0.0621473749079475
HER17_RS12425	HER17_RS12425	hydroxylamine reductase	HER17_RS12425 hydroxylamine reductase	0.25471665195115
HER17_RS12430	HER17_RS12430	NADH oxidoreductase	HER17_RS12430 NADH oxidoreductase	0.133705326219854
HER17_RS12435	HER17_RS12435	DUF2867 domain-containing protein	HER17_RS12435 DUF2867 domain-containing protein	-0.0166022065164544
HER17_RS12440	HER17_RS12440	N-acetylmuramoyl-L-alanine amidase	HER17_RS12440 N-acetylmuramoyl-L-alanine amidase	-0.541193491090017
HER17_RS12445	HER17_RS12445	heavy metal-binding domain-containing protein	HER17_RS12445 heavy metal-binding domain-containing protein	0.208011733543675
HER17_RS12450	HER17_RS12450	arginine ABC transporter ATP-binding protein ArtP	HER17_RS12450 arginine ABC transporter ATP-binding protein ArtP	-0.854362731563232
HER17_RS12455	HER17_RS12455	arginine ABC transporter substrate-binding protein	HER17_RS12455 arginine ABC transporter substrate-binding protein	0.146156544395368
HER17_RS12460	HER17_RS12460	arginine ABC transporter permease ArtQ	HER17_RS12460 arginine ABC transporter permease ArtQ	0.0890782872549081
HER17_RS12465	HER17_RS12465	arginine ABC transporter permease ArtM	HER17_RS12465 arginine ABC transporter permease ArtM	-0.0600582081225833
HER17_RS12470	HER17_RS12470	arginine ABC transporter substrate-binding protein	HER17_RS12470 arginine ABC transporter substrate-binding protein	-0.0268515669598726
HER17_RS12475	HER17_RS12475	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC	HER17_RS12475 23S rRNA (uracil(747)-C(5))-methyltransferase RlmC	-0.0630841212655604
HER17_RS12480	HER17_RS12480	YbjO family protein	HER17_RS12480 YbjO family protein	-0.0955091477249892
HER17_RS12485	HER17_RS12485	putrescine ABC transporter permease PotI	HER17_RS12485 putrescine ABC transporter permease PotI	0.192304361242267
HER17_RS12490	HER17_RS12490	putrescine ABC transporter permease PotH	HER17_RS12490 putrescine ABC transporter permease PotH	0.12135044250572
HER17_RS12495	HER17_RS12495	putrescine ABC transporter ATP-binding subunit PotG	HER17_RS12495 putrescine ABC transporter ATP-binding subunit PotG	0.338039800176926
HER17_RS12500	HER17_RS12500	spermidine/putrescine ABC transporter substrate-binding protein PotF	HER17_RS12500 spermidine/putrescine ABC transporter substrate-binding protein PotF	-0.039958873360225
HER17_RS12505	HER17_RS12505	YbjN domain-containing protein	HER17_RS12505 YbjN domain-containing protein	-0.457948422493264
HER17_RS12510	HER17_RS12510	30S ribosomal protein S6--L-glutamate ligase	HER17_RS12510 30S ribosomal protein S6--L-glutamate ligase	-0.0757746925888336
HER17_RS12515	HER17_RS12515	oxygen-insensitive NADPH nitroreductase	HER17_RS12515 oxygen-insensitive NADPH nitroreductase	0.0442051157697243
HER17_RS12520	HER17_RS12520	GrxA family glutaredoxin	HER17_RS12520 GrxA family glutaredoxin	0.186760698561595
HER17_RS12525	HER17_RS12525	inner membrane protein YbjM	HER17_RS12525 inner membrane protein YbjM	-0.101017700984298
HER17_RS12530	HER17_RS12530	aspartate:alanine antiporter	HER17_RS12530 aspartate:alanine antiporter	0.0648839346472638
HER17_RS12535	HER17_RS12535	deoxyribose-phosphate aldolase	HER17_RS12535 deoxyribose-phosphate aldolase	0.137896714841116
HER17_RS12540	HER17_RS12540	DNA-binding transcriptional repressor DeoR	HER17_RS12540 DNA-binding transcriptional repressor DeoR	0.0636994491030318
HER17_RS12545	HER17_RS12545	serine hydrolase	HER17_RS12545 serine hydrolase	0.148027274100457
HER17_RS12550	HER17_RS12550	ABC transporter permease	HER17_RS12550 ABC transporter permease	0.00733443646985377
HER17_RS12555	HER17_RS12555	methionine ABC transporter ATP-binding protein	HER17_RS12555 methionine ABC transporter ATP-binding protein	-0.511344701678063
HER17_RS12560	HER17_RS12560	metal ABC transporter substrate-binding protein	HER17_RS12560 metal ABC transporter substrate-binding protein	0.0600280400323056
HER17_RS12565	HER17_RS12565	glutathione S-transferase	HER17_RS12565 glutathione S-transferase	-0.102819417020736
HER17_RS12570	HER17_RS12570	PQQ-dependent sugar dehydrogenase	HER17_RS12570 PQQ-dependent sugar dehydrogenase	-0.105686247337798
HER17_RS12575	HER17_RS12575	DUF2188 domain-containing protein	HER17_RS12575 DUF2188 domain-containing protein	-0.139882377511757
HER17_RS12580	HER17_RS12580	hypothetical protein	HER17_RS12580 hypothetical protein	0.0708893560519553
HER17_RS12585	HER17_RS12585	hypothetical protein	HER17_RS12585 hypothetical protein	-0.362075981930087
HER17_RS12590	HER17_RS12590	hypothetical protein	HER17_RS12590 hypothetical protein	-0.171772133774894
HER17_RS12595	HER17_RS12595	hypothetical protein	HER17_RS12595 hypothetical protein	-0.340353795776899
HER17_RS12610	HER17_RS12610	hypothetical protein	HER17_RS12610 hypothetical protein	0.889650910588659
HER17_RS12615	HER17_RS12615	fibronectin type III domain-containing protein	HER17_RS12615 fibronectin type III domain-containing protein	-0.216618448826132
HER17_RS12630	HER17_RS12630	hypothetical protein	HER17_RS12630 hypothetical protein	-0.0693088574946701
HER17_RS12640	HER17_RS12640	hypothetical protein	HER17_RS12640 hypothetical protein	-0.618553027359679
HER17_RS12655	HER17_RS12655	phage major capsid protein	HER17_RS12655 phage major capsid protein	-0.229561457868097
HER17_RS12660	HER17_RS12660	phage portal protein	HER17_RS12660 phage portal protein	-0.478248986072419
HER17_RS12670	HER17_RS12670	phage terminase large subunit family protein	HER17_RS12670 phage terminase large subunit family protein	-0.249889910829803
HER17_RS12675	HER17_RS12675	hypothetical protein	HER17_RS12675 hypothetical protein	-0.0706821952441845
HER17_RS12680	HER17_RS12680	hypothetical protein	HER17_RS12680 hypothetical protein	-0.130383697595393
HER17_RS12705	HER17_RS12705	hypothetical protein	HER17_RS12705 hypothetical protein	0.210794023021919
HER17_RS12715	HER17_RS12715	hypothetical protein	HER17_RS12715 hypothetical protein	-0.566848482652695
HER17_RS12720	HER17_RS12720	hypothetical protein	HER17_RS12720 hypothetical protein	-0.0250537130776971
HER17_RS12730	HER17_RS12730	hypothetical protein	HER17_RS12730 hypothetical protein	-0.127044414349151
HER17_RS12735	HER17_RS12735	hypothetical protein	HER17_RS12735 hypothetical protein	-0.055731044291752
HER17_RS12750	HER17_RS12750	recombinase family protein	HER17_RS12750 recombinase family protein	-0.231083706169906
